architecture,dataset,ratio,baseline,n_pairs,mean_baseline,mean_GRA-CNN,mean_delta_gra_minus_baseline,std_delta,t_stat,p_t,wilcoxon_stat,p_wilcoxon,cohens_dz,ci95_low,ci95_high
resnet110,cifar100,0.7,CHIP,5,68.484,67.868,-0.616,0.2678,-5.143,0.006777,0.0,0.0625,-2.3,-0.8508,-0.3812
resnet110,cifar100,0.9,CHIP,5,57.284,57.422,0.138,0.1687,1.8288,0.141422,1.0,0.25,0.8179,-0.0099,0.2859
resnet18,tinyimagenet,0.7,CHIP,3,56.34,56.7267,0.3867,0.132,5.0723,0.036739,0.0,0.25,2.9285,0.2373,0.5361
resnet18,tinyimagenet,0.9,CHIP,3,50.0133,49.64,-0.3733,0.2838,-2.2786,0.150344,0.0,0.25,-1.3156,-0.6945,-0.0522
resnet56,cifar10,0.7,CHIP,5,89.49,89.322,-0.168,0.1112,-3.3776,0.027847,0.0,0.0625,-1.5105,-0.2655,-0.0705
resnet56,cifar10,0.9,CHIP,5,81.556,81.288,-0.268,0.3878,-1.5454,0.197143,3.0,0.3125,-0.6911,-0.6079,0.0719
resnet56,cifar100,0.6,CHIP,5,67.362,67.47,0.108,0.2149,1.1239,0.323941,3.0,0.3125,0.5026,-0.0803,0.2963
resnet56,cifar100,0.7,CHIP,5,67.248,67.76,0.512,0.1171,9.7741,0.000614,0.0,0.0625,4.3711,0.4093,0.6147
resnet56,cifar100,0.8,CHIP,5,60.992,61.486,0.494,0.1892,5.8397,0.004287,0.0,0.0625,2.6116,0.3282,0.6598
resnet56,cifar100,0.9,CHIP,5,56.972,57.51,0.538,0.1678,7.1676,0.002006,0.0,0.0625,3.2054,0.3909,0.6851
vgg16,cifar100,0.7,CHIP,5,64.43,64.372,-0.058,0.3232,-0.4013,0.708746,6.0,0.8125,-0.1794,-0.3413,0.2253
vgg16,cifar100,0.9,CHIP,5,42.694,42.842,0.148,1.0566,0.3132,0.769779,7.0,1.0,0.1401,-0.7782,1.0742
