architecture,dataset,ratio,baseline,n_pairs,mean_baseline,mean_GRA-CNN,mean_delta_gra_minus_baseline,std_delta,t_stat,p_t,wilcoxon_stat,p_wilcoxon,cohens_dz,ci95_low,ci95_high
resnet110,cifar100,0.7,L1,5,68.226,67.868,-0.358,0.1663,-4.8124,0.00857,0.0,0.0625,-2.1522,-0.5038,-0.2122
resnet110,cifar100,0.9,L1,5,57.212,57.422,0.21,0.2855,1.6448,0.175347,1.0,0.25,0.7356,-0.0402,0.4602
resnet18,tinyimagenet,0.7,L1,3,56.2767,56.7267,0.45,0.0721,10.8087,0.008451,0.0,0.25,6.2404,0.3684,0.5316
resnet18,tinyimagenet,0.9,L1,3,49.3533,49.64,0.2867,0.0737,6.736,0.021336,0.0,0.25,3.8891,0.2033,0.3701
resnet56,cifar100,0.6,L1,5,67.726,67.47,-0.256,0.1484,-3.8567,0.018198,0.0,0.0625,-1.7248,-0.3861,-0.1259
resnet56,cifar100,0.7,L1,5,67.934,67.76,-0.174,0.24,-1.6214,0.180243,1.0,0.25,-0.7251,-0.3843,0.0363
resnet56,cifar100,0.8,L1,5,61.828,61.486,-0.342,0.2488,-3.0732,0.037176,1.0,0.125,-1.3744,-0.5601,-0.1239
resnet56,cifar100,0.9,L1,5,57.474,57.51,0.036,0.2311,0.3483,0.745206,7.0,1.0,0.1557,-0.1666,0.2386
vgg16,cifar100,0.7,L1,5,62.814,64.372,1.558,0.9973,3.4931,0.025052,0.0,0.0625,1.5622,0.6838,2.4322
vgg16,cifar100,0.9,L1,5,17.256,42.842,25.586,22.211,2.5758,0.061597,1.0,0.125,1.152,6.1172,45.0548
